abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
h2o	H2O	H2O	0	Cytosol, Extra-organism, Periplasm	C00001	7732-18-5	33474	
atp	ATP	C10H12N5O13P3	-4	Cytosol	C00002	56-65-5	33477	
nad	Nicotinamide adenine dinucleotide	C21H26N7O14P2	-1	Cytosol	C00003	53-84-9	33480	
nadh	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	-2	Cytosol	C00004	58-68-4	33484	
nadph	Nicotinamide adenine dinucleotide phosphate - reduced	C21H26N7O17P3	-4	Cytosol	C00005	2646-71-1	33486	
nadp	Nicotinamide adenine dinucleotide phosphate	C21H25N7O17P3	-3	Cytosol	C00006	53-59-8	33488	
o2	O2	O2	0	Cytosol, Extra-organism, Periplasm	C00007	7782-44-7	33493	
adp	ADP	C10H12N5O10P2	-3	Cytosol	C00008	58-64-0	33496	
pi	Phosphate	HO4P	-2	Cytosol, Extra-organism, Periplasm	C00009	14265-44-2	33499	
coa	Coenzyme A	C21H32N7O16P3S	-4	Cytosol	C00010	85-61-0	33502	
co2	CO2	CO2	0	Cytosol, Extra-organism, Periplasm	C00011	124-38-9	33506	
ppi	Diphosphate	HO7P2	-3	Cytosol	C00013	2466-09-3	33511	
nh4	Ammonium	H4N	1	Cytosol, Extra-organism, Periplasm	C01342	14798-03-9	33515	
udp	UDP	C9H11N2O12P2	-3	Cytosol	C00015	58-98-0	33518	
fad	Flavin adenine dinucleotide oxidized	C27H31N9O15P2	-2	Cytosol	C00016	146-14-5	33521	
pydx5p	Pyridoxal 5'-phosphate	C8H8NO6P	-2	Cytosol	C00018	54-47-7	33526	
amet	S-Adenosyl-L-methionine	C15H23N6O5S	1	Cytosol	C00019	29908-03-0	33530	
amp	AMP	C10H12N5O7P	-2	Cytosol, Extra-organism, Periplasm	C00020	61-19-8	33534	
ahcys	S-Adenosyl-L-homocysteine	C14H20N6O5S	0	Cytosol	C00021	979-92-0	33543	
pyr	Pyruvate	C3H3O3	-1	Cytosol, Extra-organism, Periplasm	C00022	127-17-3	33546	
fe2	Fe2+	Fe	2	Cytosol, Extra-organism, Periplasm	C00023	None	33552	
accoa	Acetyl-CoA	C23H34N7O17P3S	-4	Cytosol	C00024	72-89-9	33558	
glu-L	L-Glutamate	C5H8NO4	-1	Cytosol, Extra-organism, Periplasm	C00025	56-86-0	33561	
akg	2-Oxoglutarate	C5H4O5	-2	Cytosol, Extra-organism, Periplasm	C00026	328-50-7	33565	
h2o2	Hydrogen peroxide	H2O2	0	Cytosol, Extra-organism, Periplasm	C00027	7722-84-1	33570	
udpg	UDPglucose	C15H22N2O17P2	-2	Cytosol, Extra-organism, Periplasm	C00029		33576	
glc-D	D-Glucose	C6H12O6	0	Cytosol, Extra-organism, Periplasm	C00031	50-99-7	33582	
pheme	Protoheme	C34H30FeN4O4	-2	Cytosol, Extra-organism, Periplasm	C00032	14875-96-8	33586	
ac	Acetate	C2H3O2	-1	Cytosol, Extra-organism, Periplasm	C00033	71-50-1	33590	
mn2	Mn2+	Mn	2	Cytosol, Extra-organism, Periplasm	C00034	None	33594	
gdp	GDP	C10H12N5O11P2	-3	Cytosol, Extra-organism, Periplasm	C00035	146-91-8	33599	
oaa	Oxaloacetate	C4H2O5	-2	Cytosol	C00036	328-42-7	33604	
gly	Glycine	C2H5NO2	0	Cytosol, Extra-organism, Periplasm	C00037	56-40-6	33610	
zn2	Zinc	Zn	2	Cytosol, Extra-organism, Periplasm	C00038	7440-66-6	33614	
ala-L	L-Alanine	C3H7NO2	0	Cytosol, Extra-organism, Periplasm	C00041	56-41-7	33629	
succ	Succinate	C4H4O4	-2	Cytosol, Extra-organism, Periplasm	C00042	110-15-6	33633	
uacgam	UDP-N-acetyl-D-glucosamine	C17H25N3O17P2	-2	Cytosol, Extra-organism, Periplasm	C00043		33638	
gtp	GTP	C10H12N5O14P3	-4	Cytosol, Extra-organism, Periplasm	C00044	86-01-1	33641	
lys-L	L-Lysine	C6H15N2O2	1	Cytosol, Extra-organism, Periplasm	C00047	56-87-1	33655	
glx	Glyoxylate	C2H1O3	-1	Cytosol	C00048	298-12-4	33659	
asp-L	L-Aspartate	C4H6NO4	-1	Cytosol, Extra-organism, Periplasm	C00049	56-84-8	33663	
