Probe_ID	Gene_ID	Assay_Normalized_Signal_HB00E8F_5/25/07_12:10_PM	CV_HB00E8F_5/25/07_12:10_PM	Flags_HB00E8F_5/25/07_12:10_PM
100002	hCG1643199.4	49.22	0.03	0
100003	hCG2041918	0.23	0.57	0
100027	hCG31426.2	0.29	1.01	1
100036	hCG1979099.1	6.51	0.08	0
100037	hCG42687.4	9.15	0.04	0
100039	hCG2015782	0.18	6.9	1
100044	hCG36953.3	0.97	3.23	1
100045	hCG1776836.3	0.59	1.35	1
100051	hCG1642464.3	0.15	1	1
100052	hCG22993.3	0.36	0.66	0
100057	hCG1793655.1	1.22	0.37	0
100058	hCG33215.3	100.39	0.04	0
100060	hCG22998.3	0.44	0.5	0
100062	hCG2039675	1.13	10.95	1
100064	hCG14966.2	0.42	0.35	0
100079	hCG2012240	32.46	0.02	0
100089	hCG22245.3	24.1	0.05	0
100093	hCG17268.3	17.05	0.04	0
100095	hCG1817887.1	2.1	1.84	1
100100	hCG2005880	102.76	0.02	0
100102	hCG2042982	0.36	0.72	0
100103	hCG19199.3	3.48	0.07	0
100105	hCG1652330.2	0.35	0.37	0
100111	hCG22936.3	0.49	0.33	0
100117	hCG2040797	0.43	1.31	1
100120	hCG2006054	0.4	1.09	1
100130	hCG1818621.1	21.21	0.04	0
100137	hCG18905.3	938.24	0.03	0
100145	hCG1777941.2	1.67	0.32	0
100146	hCG2042386	18.58	0.05	0
100151	hCG37749.3	0.43	1.68	1
100159	hCG18119.3	0.41	0.56	0
100160	hCG1643047.3	0.52	1.5	1
100172	hCG1984846	0.59	0.25	0
100181	hCG1644761.3	0.36	0.68	1
100182	hCG1817349.1	0.55	1.51	1
100184	hCG19707.3	5.05	0.1	0
100195	hCG19232.3	31.26	0.05	0
100214	hCG1773993.2	0.88	0.78	0
100215	hCG19658.3	0.37	8.09	1
100216	hCG16896.2	3.41	0.12	0
100244	hCG38837.3	19.56	0.07	0
100249	hCG2042122	327.67	0.03	0
100259	hCG1990058	0.65	0.63	0
100260	hCG2041407	0.41	0.31	0
100269	hCG2042042	0.2	0.48	1
100277	hCG1746386.2	0.2	2.09	1
100278	hCG2043255	3.76	0.12	0
100288	hCG15198.3	0.22	0.33	131073
100289	NM_018661.2	0.22	0.46	1
100295	hCG38931.2	0.73	0.71	0
100297	hCG1817726.2	0.61	0.76	0
100302	hCG1997291	0.96	0.69	1
100309	hCG2031179	0.29	1.46	1
100312	hCG2029091.1	0.34	6.32	1
100313	hCG23912.3	75.75	0.04	0
